channel_id,video_id,channel_name,duration(sec),domain,link
UCIjLRyywnG8olYXAEVYGYgQ,QMeV-Wn2JLM,CMV,410,Natok / TV Drama,https://www.youtube.com/watch?v=QMeV-Wn2JLM
UCIjLRyywnG8olYXAEVYGYgQ,8EMmbtz_GCE,CMV,148,Natok / TV Drama,https://www.youtube.com/watch?v=8EMmbtz_GCE
UCIjLRyywnG8olYXAEVYGYgQ,MCQSe4rzyKo,CMV,205,Natok / TV Drama,https://www.youtube.com/watch?v=MCQSe4rzyKo
UCIjLRyywnG8olYXAEVYGYgQ,zQ-hYshFnDk,CMV,280,Natok / TV Drama,https://www.youtube.com/watch?v=zQ-hYshFnDk
UCIjLRyywnG8olYXAEVYGYgQ,K5wF76kJIs8,CMV,267,Natok / TV Drama,https://www.youtube.com/watch?v=K5wF76kJIs8
UCqk3_x2FUhPHXU51wiR1IsA,x43KhfI_32M,G Series,195,Movies / Drama,https://www.youtube.com/watch?v=x43KhfI_32M
UCqk3_x2FUhPHXU51wiR1IsA,wLR0crYMXUk,G Series,560,Movies / Drama,https://www.youtube.com/watch?v=wLR0crYMXUk
UCqk3_x2FUhPHXU51wiR1IsA,oE5qEi2TdjE,G Series,524,Movies / Drama,https://www.youtube.com/watch?v=oE5qEi2TdjE
UCqk3_x2FUhPHXU51wiR1IsA,r5svEfiAIBw,G Series,789,Movies / Drama,https://www.youtube.com/watch?v=r5svEfiAIBw
UCqk3_x2FUhPHXU51wiR1IsA,oZyQYRAiubU,G Series,206,Movies / Drama,https://www.youtube.com/watch?v=oZyQYRAiubU
UCsr6QVeLlkitleHoS0T4IxQ,iAVL08K_YP0,Banglavision Drama,6810,TV Drama,https://www.youtube.com/watch?v=iAVL08K_YP0
UCsr6QVeLlkitleHoS0T4IxQ,UjoHSueur8A,Banglavision Drama,2327,TV Drama,https://www.youtube.com/watch?v=UjoHSueur8A
UCsr6QVeLlkitleHoS0T4IxQ,dDtB5E1LrMk,Banglavision Drama,1941,TV Drama,https://www.youtube.com/watch?v=dDtB5E1LrMk
UCsr6QVeLlkitleHoS0T4IxQ,a_9vmHplkZs,Banglavision Drama,2591,TV Drama,https://www.youtube.com/watch?v=a_9vmHplkZs
